parliamentarian_1,parliamentarian_2,proportion_agreement,region_1,region_2,partido_1,partido_2,Diputado_1,Diputado_2,sector_1,sector_2,Unnamed: 0,person_1,person_2,label,sentiment,date,original_index
"Jiles, Pamela","Lee, Enrique",1.318840579710145,Región Metropolitana de Santiago (47),Región de Arica y Parinacota (3),PH,Ind-PRI,Pamela Jiles Moreno,Enrique Lee Flores,izquierda,centro_derecha,1350.0,pamela jiles,enrique lee,positive,positive,Unknown,358.0
"Alinco, Rene","Pulgar, Francisco",1.318840579710145,Región de Aysén del General Carlos Ibáńez del Campo (3),Región del Maule (11),PPD,Ind-PL,Rene Alinco Bustos,Francisco Pulgar Castillo,centro_izquierda,centro_izquierda,,,,,no_link_found,,
"Ahumada, Yovana","Alinco, Rene",1.318840579710145,Región de Antofagasta (5),Región de Aysén del General Carlos Ibáńez del Campo (3),Ind-PDG,PPD,Yovana Ahumada Palma,Rene Alinco Bustos,populista,centro_izquierda,,,,,no_link_found,,
"Berger, Bernardo","Tapia, Cristian",1.318840579710145,Región de Los Ríos (5),Región de Atacama (5),Ind-RN,Ind-PPD,Bernardo Berger Fett,Cristian Tapia Ramos,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Marzan, Carolina","Undurraga, Francisco",1.318840579710145,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PPD,Evópoli,Carolina Marzan Pinto,Francisco Undurraga Gazitua,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Ahumada, Yovana","Manouchehri, Daniel",1.318840579710145,Región de Antofagasta (5),Región de Coquimbo (7),Ind-PDG,PS,Yovana Ahumada Palma,Daniel Manouchehri Moghadam Kashan Lobos,populista,centro_izquierda,,,,,no_link_found,,
"Barria, Hector","Munoz, Francesca",1.3201581027667983,Región de Los Lagos (9),Región del Biobío (13),PDC,PSC,Hector Barria Angulo,Francesca Munoz Gonzalez,centro_izquierda,derecha,,,,,no_link_found,,
"Becker, Miguel Angel","De la Carrera, Gonzalo",1.3201581027667983,Región de la Araucanía (11),Región Metropolitana de Santiago (47),RN,Ind-PLR,Miguel Becker Alvear,Gonzalo de la Carrera Correa,centro_derecha,derecha,,,,,no_link_found,,
"Araya, Jaime","Mellado, Miguel",1.3201581027667983,Región de Antofagasta (5),Región de la Araucanía (11),Ind-PPD,RN,Jaime Araya Guerrero,Miguel Mellado Suazo,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Guzman, Jorge","Naranjo, Jaime",1.3201581027667983,Región del Maule (11),Región del Maule (11),Evópoli,PS,Jorge Guzman Zepeda,Jaime Naranjo Ortiz,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Jouannet, Andres","Labbe, Cristian",1.3201581027667983,Región de la Araucanía (11),Región Metropolitana de Santiago (47),Amarillos,UDI,Andres Jouannet Valderrama,Cristian Labbe Martinez,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Labbe, Cristian","Soto, Raul",1.3201581027667983,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),UDI,PPD,Cristian Labbe Martinez,Raul Soto Mardones,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Romero, Natalia","Santana, Juan",1.3201581027667983,Región del Libertador General Bernardo O'Higgins (9),Región de Atacama (5),Ind-UDI,PS,Natalia Romero Talguia,Juan Santana Castillo,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Bravo, Marta","Perez, Joanna",1.3201581027667983,Región de Ńuble (5),Región del Biobío (13),UDI,Demócratas,Marta Bravo Salinas,Joanna Perez Olea,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Duran, Eduardo","Ilabaca, Marcos",1.3201581027667983,Región Metropolitana de Santiago (47),Región de Los Ríos (5),RN,PS,Eduardo Duran Salinas,Marcos Ilabaca Cerda,centro_derecha,centro_izquierda,,,,,no_link_found,,
"De la Carrera, Gonzalo","Hirsch, Tomas",1.3201581027667983,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),Ind-PLR,AH,Gonzalo de la Carrera Correa,Tomas Hirsch Goldschmidt,derecha,izquierda,,,,,no_link_found,,
"Lee, Enrique","Molina, Helia",1.3201581027667983,Región de Arica y Parinacota (3),Región Metropolitana de Santiago (47),Ind-PRI,PPD,Enrique Lee Flores,Helia Molina Milman,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Munoz, Francesca","Soto, Raul",1.3201581027667983,Región del Biobío (13),Región del Libertador General Bernardo O'Higgins (9),PSC,PPD,Francesca Munoz Gonzalez,Raul Soto Mardones,derecha,centro_izquierda,,,,,no_link_found,,
"Calisto, Miguel Angel","Winter, Gonzalo",1.3201581027667983,Región de Aysén del General Carlos Ibáńez del Campo (3),Región Metropolitana de Santiago (47),Demócratas,CS,Miguel Angel Calisto Aguila,Gonzalo Winter Etcheberry,centro_izquierda,izquierda,,,,,no_link_found,,
"Astudillo, Danisa","Munoz, Francesca",1.321475625823452,Región de Tarapacá (3),Región del Biobío (13),PS,PSC,Danisa Astudillo Peiretti,Francesca Munoz Gonzalez,centro_izquierda,derecha,,,,,no_link_found,,
"Medina, Karen","Palma, Hernan",1.321475625823452,Región del Biobío (13),Región Metropolitana de Santiago (47),PDG,PH,Karen Medina Vasquez,Hernan Palma Perez,populista,izquierda,,,,,no_link_found,,
"Cifuentes, Ricardo","Raphael, Marcia",1.321475625823452,Región de Coquimbo (7),Región de Aysén del General Carlos Ibáńez del Campo (3),PDC,RN,Ricardo Cifuentes Lillo,Marcia Raphael Mora,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Leal, Henry","Videla, Sebastian",1.321475625823452,Región de la Araucanía (11),Región de Antofagasta (5),UDI,Ind-PL,Henry Leal Bizama,Sebastian Videla Castillo,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Jouannet, Andres","Perez, Marlene",1.321475625823452,Región de la Araucanía (11),Región del Biobío (13),Amarillos,Ind-UDI,Andres Jouannet Valderrama,Marlene Perez Cartes,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Barria, Hector","Duran, Eduardo",1.321475625823452,Región de Los Lagos (9),Región Metropolitana de Santiago (47),PDC,RN,Hector Barria Angulo,Eduardo Duran Salinas,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Medina, Karen","Yeomans, Gael",1.321475625823452,Región del Biobío (13),Región Metropolitana de Santiago (47),PDG,CS,Karen Medina Vasquez,Gael Yeomans Araya,populista,izquierda,,,,,no_link_found,,
"Lee, Enrique","Orsini, Maite",1.321475625823452,Región de Arica y Parinacota (3),Región Metropolitana de Santiago (47),Ind-PRI,RD,Enrique Lee Flores,Maite Orsini Pascal,centro_derecha,izquierda,,,,,no_link_found,,
"Hirsch, Tomas","Leal, Henry",1.321475625823452,Región Metropolitana de Santiago (47),Región de la Araucanía (11),AH,UDI,Tomas Hirsch Goldschmidt,Henry Leal Bizama,izquierda,centro_derecha,,,,,no_link_found,,
"Guzman, Jorge","Orsini, Maite",1.321475625823452,Región del Maule (11),Región Metropolitana de Santiago (47),Evópoli,RD,Jorge Guzman Zepeda,Maite Orsini Pascal,centro_derecha,izquierda,,,,,no_link_found,,
"Marzan, Carolina","Moreno, Benjamin",1.321475625823452,Región de Valparaíso (16),Región del Maule (11),PPD,PLR,Carolina Marzan Pinto,Benjamin Moreno Bascur,centro_izquierda,derecha,,,,,no_link_found,,
"Jouannet, Andres","Lee, Enrique",1.321475625823452,Región de la Araucanía (11),Región de Arica y Parinacota (3),Amarillos,Ind-PRI,Andres Jouannet Valderrama,Enrique Lee Flores,centro_izquierda,centro_derecha,1846.0,andrés jouannet,enrique lee,positive,positive,Unknown,492.0
"Benavente, Gustavo","Olivera, Erika",1.321475625823452,Región del Maule (11),Región Metropolitana de Santiago (47),UDI,Demócratas,Gustavo Benavente Vergara,Erika Olivera de la Fuente,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Leal, Henry","Musante, Camila",1.321475625823452,Región de la Araucanía (11),Región Metropolitana de Santiago (47),UDI,Ind-PPD,Henry Leal Bizama,Camila Musante Muller,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Coloma, Juan Antonio","Olivera, Erika",1.321475625823452,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,Demócratas,Juan Antonio Coloma Alamos,Erika Olivera de la Fuente,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Aedo, Eric","Teao, Hotuiti",1.3227931488801057,Región del Biobío (13),Región de Valparaíso (16),PDC,Ind-Evópoli,Eric Aedo Jeldres,Hotuiti Teao Drago,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Alinco, Rene","Guzman, Jorge",1.3227931488801057,Región de Aysén del General Carlos Ibáńez del Campo (3),Región del Maule (11),PPD,Evópoli,Rene Alinco Bustos,Jorge Guzman Zepeda,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Lagomarsino, Tomas","Perez, Marlene",1.3227931488801057,Región de Valparaíso (16),Región del Biobío (13),PR,Ind-UDI,Tomas Lagomarsino Guzman,Marlene Perez Cartes,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Hertz, Carmen","Lagomarsino, Tomas",1.3227931488801057,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,PR,Carmen Hertz Cadiz,Tomas Lagomarsino Guzman,izquierda,centro_izquierda,,,,,no_link_found,,
"Lee, Enrique","Mirosevic, Vlado",1.3227931488801057,Región de Arica y Parinacota (3),Región de Arica y Parinacota (3),Ind-PRI,PL,Enrique Lee Flores,Vlado Mirosevic Verdugo,centro_derecha,centro_izquierda,3313.0,enrique lee,vlado mirosevic,negative,negative,Unknown,856.0
"Beltran, Juan Carlos","Soto, Raul",1.3227931488801057,Región de la Araucanía (11),Región del Libertador General Bernardo O'Higgins (9),RN,PPD,Juan Carlos Beltran Silva,Raul Soto Mardones,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Lagomarsino, Tomas","Sulantay, Marco Antonio",1.3227931488801057,Región de Valparaíso (16),Región de Coquimbo (7),PR,UDI,Tomas Lagomarsino Guzman,Marco Sulantay Olivares,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Naranjo, Jaime","Undurraga, Francisco",1.3227931488801057,Región del Maule (11),Región Metropolitana de Santiago (47),PS,Evópoli,Jaime Naranjo Ortiz,Francisco Undurraga Gazitua,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Rey, Hugo","Tapia, Cristian",1.3241106719367588,Región del Maule (11),Región de Atacama (5),RN,Ind-PPD,Hugo Rey Martinez,Cristian Tapia Ramos,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Cifuentes, Ricardo","Munoz, Francesca",1.3241106719367588,Región de Coquimbo (7),Región del Biobío (13),PDC,PSC,Ricardo Cifuentes Lillo,Francesca Munoz Gonzalez,centro_izquierda,derecha,,,,,no_link_found,,
"Cornejo, Eduardo","Jouannet, Andres",1.3241106719367588,Región del Libertador General Bernardo O'Higgins (9),Región de la Araucanía (11),UDI,Amarillos,Eduardo Cornejo Lagos,Andres Jouannet Valderrama,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Bianchi, Carlos","Undurraga, Francisco",1.3241106719367588,Región de Magallanes y la Antártica Chilena (3),Región Metropolitana de Santiago (47),Ind-PPD,Evópoli,Carlos Bianchi Chelech,Francisco Undurraga Gazitua,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Jouannet, Andres","Ramirez, Guillermo",1.3241106719367588,Región de la Araucanía (11),Región Metropolitana de Santiago (47),Amarillos,UDI,Andres Jouannet Valderrama,Guillermo Ramirez Diez,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Coloma, Juan Antonio","Undurraga, Alberto",1.3241106719367588,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,PDC,Juan Antonio Coloma Alamos,Alberto Undurraga Vicuna,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Bernales, Alejandro","Morales, Carla",1.3241106719367588,Región de Los Lagos (9),Región del Libertador General Bernardo O'Higgins (9),PL,RN,Alejandro Bernales Maldonado,Carla Morales Maldonado,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Jouannet, Andres","Romero, Agustin",1.3241106719367588,Región de la Araucanía (11),Región Metropolitana de Santiago (47),Amarillos,PLR,Andres Jouannet Valderrama,Agustin Romero Leiva,centro_izquierda,derecha,,,,,no_link_found,,
"Calisto, Miguel Angel","Meza, Jose Carlos",1.3241106719367588,Región de Aysén del General Carlos Ibáńez del Campo (3),Región Metropolitana de Santiago (47),Demócratas,PLR,Miguel Angel Calisto Aguila,Jose Carlos Meza Pereira,centro_izquierda,derecha,,,,,no_link_found,,
"De Rementeria, Tomas","Romero, Natalia",1.3241106719367588,Región de Valparaíso (16),Región del Libertador General Bernardo O'Higgins (9),PS,Ind-UDI,Tomas De Rementeria Venegas,Natalia Romero Talguia,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Calisto, Miguel Angel","Hirsch, Tomas",1.3254281949934124,Región de Aysén del General Carlos Ibáńez del Campo (3),Región Metropolitana de Santiago (47),Demócratas,AH,Miguel Angel Calisto Aguila,Tomas Hirsch Goldschmidt,centro_izquierda,izquierda,,,,,no_link_found,,
"Barria, Hector","Morales, Carla",1.3254281949934124,Región de Los Lagos (9),Región del Libertador General Bernardo O'Higgins (9),PDC,RN,Hector Barria Angulo,Carla Morales Maldonado,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Bianchi, Carlos","Raphael, Marcia",1.3254281949934124,Región de Magallanes y la Antártica Chilena (3),Región de Aysén del General Carlos Ibáńez del Campo (3),Ind-PPD,RN,Carlos Bianchi Chelech,Marcia Raphael Mora,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Jouannet, Andres","Rathgeb, Jorge",1.3254281949934124,Región de la Araucanía (11),Región de la Araucanía (11),Amarillos,RN,Andres Jouannet Valderrama,Jorge Rathgeb Schifferli,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Oyarzo, Ruben Dario","Pizarro, Lorena",1.3254281949934124,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PDG,PCCh,Ruben Oyarzo Figueroa,Lorena Pizarro Sierra,populista,izquierda,,,,,no_link_found,,
"Alessandri, Jorge","Jiles, Pamela",1.3254281949934124,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,PH,Jorge Alessandri Vergara,Pamela Jiles Moreno,centro_derecha,izquierda,,,,,no_link_found,,
"Jouannet, Andres","Trisotti, Renzo",1.3254281949934124,Región de la Araucanía (11),Región de Tarapacá (3),Amarillos,UDI,Andres Jouannet Valderrama,Renzo Trisotti Martinez,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Castro, Jose Miguel","Jouannet, Andres",1.3254281949934124,Región de Antofagasta (5),Región de la Araucanía (11),RN,Amarillos,Jose Miguel Castro Bascunan,Andres Jouannet Valderrama,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Musante, Camila","Pino, Victor Alejandro",1.3254281949934124,Región Metropolitana de Santiago (47),Región de Coquimbo (7),Ind-PPD,Ind-PDG,Camila Musante Muller,Victor Pino Fuentes,centro_izquierda,populista,,,,,no_link_found,,
"De Rementeria, Tomas","Lavin, Joaquin",1.3254281949934124,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PS,UDI,Tomas De Rementeria Venegas,Joaquin Lavin Leon,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Ahumada, Yovana","Ulloa, Hector",1.326745718050066,Región de Antofagasta (5),Región de Los Lagos (9),Ind-PDG,Ind-PPD,Yovana Ahumada Palma,Hector Ulloa Aguilera,populista,centro_izquierda,,,,,no_link_found,,
"Jurgensen, Harry","Pulgar, Francisco",1.326745718050066,Región de Los Lagos (9),Región del Maule (11),Ind-PLR,Ind-PL,Harry Jurgensen Rundshagen,Francisco Pulgar Castillo,derecha,centro_izquierda,,,,,no_link_found,,
"Rivas, Gaspar","Serrano, Daniela",1.326745718050066,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PDG,PCCh,Gaspar Rivas Sanchez,Daniela Serrano Salazar,populista,izquierda,,,,,no_link_found,,
"Benavente, Gustavo","Romero, Leonidas",1.326745718050066,Región del Maule (11),Región del Biobío (13),UDI,Ind-RN,Gustavo Benavente Vergara,Leonidas Romero Saez,centro_derecha,centro_derecha,,,,,no_link_found,,
"Lagomarsino, Tomas","Trisotti, Renzo",1.326745718050066,Región de Valparaíso (16),Región de Tarapacá (3),PR,UDI,Tomas Lagomarsino Guzman,Renzo Trisotti Martinez,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Cifuentes, Ricardo","Rey, Hugo",1.326745718050066,Región de Coquimbo (7),Región del Maule (11),PDC,RN,Ricardo Cifuentes Lillo,Hugo Rey Martinez,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Longton, Andres","Musante, Camila",1.326745718050066,Región de Valparaíso (16),Región Metropolitana de Santiago (47),RN,Ind-PPD,Andres Longton Herrera,Camila Musante Muller,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Romero, Leonidas","Weisse, Flor",1.3280632411067197,Región del Biobío (13),Región del Biobío (13),Ind-RN,UDI,Leonidas Romero Saez,Flor Weisse Novoa,centro_derecha,centro_derecha,,,,,no_link_found,,
"Cordero, Maria Luisa","De Rementeria, Tomas",1.3280632411067197,Región Metropolitana de Santiago (47),Región de Valparaíso (16),Ind-RN,PS,Maria Luisa Cordero Velasquez,Tomas De Rementeria Venegas,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Mellado, Cosme","Munoz, Francesca",1.3280632411067197,Región del Libertador General Bernardo O'Higgins (9),Región del Biobío (13),PR,PSC,Cosme Mellado Pino,Francesca Munoz Gonzalez,centro_izquierda,derecha,,,,,no_link_found,,
"Fuenzalida, Juan","Pulgar, Francisco",1.3280632411067197,Región de Coquimbo (7),Región del Maule (11),UDI,Ind-PL,Juan Manuel Fuenzalida Cobo,Francisco Pulgar Castillo,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Ramirez, Matias","Rivas, Gaspar",1.3280632411067197,Región de Tarapacá (3),Región de Valparaíso (16),PCCh,PDG,Matias Ramirez Pascal,Gaspar Rivas Sanchez,izquierda,populista,,,,,no_link_found,,
"Bravo, Marta","Saffirio, Jorge",1.3280632411067197,Región de Ńuble (5),Región de la Araucanía (11),UDI,Demócratas,Marta Bravo Salinas,Jorge Saffirio Espinoza,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Concha, Sara","Del Real, Catalina",1.3280632411067197,Región de Ńuble (5),Región Metropolitana de Santiago (47),PSC,Ind-RN,Sara Concha Smith,Catalina del Real Mihovilovic,derecha,centro_derecha,,,,,no_link_found,,
"Barria, Hector","Raphael, Marcia",1.3280632411067197,Región de Los Lagos (9),Región de Aysén del General Carlos Ibáńez del Campo (3),PDC,RN,Hector Barria Angulo,Marcia Raphael Mora,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Leal, Henry","Schneider, Emilia",1.3280632411067197,Región de la Araucanía (11),Región Metropolitana de Santiago (47),UDI,CS,Henry Leal Bizama,Emilia Schneider Videla,centro_derecha,izquierda,,,,,no_link_found,,
"Jouannet, Andres","Ramirez, Matias",1.3280632411067197,Región de la Araucanía (11),Región de Tarapacá (3),Amarillos,PCCh,Andres Jouannet Valderrama,Matias Ramirez Pascal,centro_izquierda,izquierda,,,,,no_link_found,,
"Hirsch, Tomas","Romero, Leonidas",1.3280632411067197,Región Metropolitana de Santiago (47),Región del Biobío (13),AH,Ind-RN,Tomas Hirsch Goldschmidt,Leonidas Romero Saez,izquierda,centro_derecha,,,,,no_link_found,,
"Cid, Sofia","Undurraga, Alberto",1.3280632411067197,Región de Atacama (5),Región Metropolitana de Santiago (47),RN,PDC,Sofia Cid Versalovic,Alberto Undurraga Vicuna,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Munoz, Francesca","Videla, Sebastian",1.3293807641633728,Región del Biobío (13),Región de Antofagasta (5),PSC,Ind-PL,Francesca Munoz Gonzalez,Sebastian Videla Castillo,derecha,centro_izquierda,,,,,no_link_found,,
"Jouannet, Andres","Teao, Hotuiti",1.3293807641633728,Región de la Araucanía (11),Región de Valparaíso (16),Amarillos,Ind-Evópoli,Andres Jouannet Valderrama,Hotuiti Teao Drago,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Ilabaca, Marcos","Rathgeb, Jorge",1.3293807641633728,Región de Los Ríos (5),Región de la Araucanía (11),PS,RN,Marcos Ilabaca Cerda,Jorge Rathgeb Schifferli,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Malla, Luis","Romero, Natalia",1.3293807641633728,Región de Arica y Parinacota (3),Región del Libertador General Bernardo O'Higgins (9),PL,Ind-UDI,Luis Malla Valenzuela,Natalia Romero Talguia,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Hertz, Carmen","Rivas, Gaspar",1.3293807641633728,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,PDG,Carmen Hertz Cadiz,Gaspar Rivas Sanchez,izquierda,populista,,,,,no_link_found,,
"Lee, Enrique","Malla, Luis",1.3293807641633728,Región de Arica y Parinacota (3),Región de Arica y Parinacota (3),Ind-PRI,PL,Enrique Lee Flores,Luis Malla Valenzuela,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Arroyo, Roberto","Romero, Leonidas",1.3293807641633728,Región del Biobío (13),Región del Biobío (13),PSC,Ind-RN,Roberto Arroyo Munoz,Leonidas Romero Saez,derecha,centro_derecha,,,,,no_link_found,,
"Beltran, Juan Carlos","Ilabaca, Marcos",1.3293807641633728,Región de la Araucanía (11),Región de Los Ríos (5),RN,PS,Juan Carlos Beltran Silva,Marcos Ilabaca Cerda,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Alessandri, Jorge","Saffirio, Jorge",1.3293807641633728,Región Metropolitana de Santiago (47),Región de la Araucanía (11),UDI,Demócratas,Jorge Alessandri Vergara,Jorge Saffirio Espinoza,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Medina, Karen","Romero, Leonidas",1.3293807641633728,Región del Biobío (13),Región del Biobío (13),PDG,Ind-RN,Karen Medina Vasquez,Leonidas Romero Saez,populista,centro_derecha,,,,,no_link_found,,
"Soto, Raul","Urruticoechea, Cristobal",1.3306982872200264,Región del Libertador General Bernardo O'Higgins (9),Región del Biobío (13),PPD,PLR,Raul Soto Mardones,Cristobal Urruticoechea Rios,centro_izquierda,derecha,,,,,no_link_found,,
"Perez, Joanna","Romero, Agustin",1.3306982872200264,Región del Biobío (13),Región Metropolitana de Santiago (47),Demócratas,PLR,Joanna Perez Olea,Agustin Romero Leiva,centro_izquierda,derecha,,,,,no_link_found,,
"Jouannet, Andres","Leal, Henry",1.3306982872200264,Región de la Araucanía (11),Región de la Araucanía (11),Amarillos,UDI,Andres Jouannet Valderrama,Henry Leal Bizama,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Mellado, Cosme","Raphael, Marcia",1.3306982872200264,Región del Libertador General Bernardo O'Higgins (9),Región de Aysén del General Carlos Ibáńez del Campo (3),PR,RN,Cosme Mellado Pino,Marcia Raphael Mora,centro_izquierda,centro_derecha,,,,,no_link_found,,
"De la Carrera, Gonzalo","Mellado, Miguel",1.3306982872200264,Región Metropolitana de Santiago (47),Región de la Araucanía (11),Ind-PLR,RN,Gonzalo de la Carrera Correa,Miguel Mellado Suazo,derecha,centro_derecha,,,,,no_link_found,,
"Hertz, Carmen","Lavin, Joaquin",1.3306982872200264,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,UDI,Carmen Hertz Cadiz,Joaquin Lavin Leon,izquierda,centro_derecha,,,,,no_link_found,,
"Berger, Bernardo","Bianchi, Carlos",1.3306982872200264,Región de Los Ríos (5),Región de Magallanes y la Antártica Chilena (3),Ind-RN,Ind-PPD,Bernardo Berger Fett,Carlos Bianchi Chelech,centro_derecha,centro_izquierda,,,,,no_link_found,,
"De Rementeria, Tomas","Morales, Carla",1.3306982872200264,Región de Valparaíso (16),Región del Libertador General Bernardo O'Higgins (9),PS,RN,Tomas De Rementeria Venegas,Carla Morales Maldonado,centro_izquierda,centro_derecha,,,,,no_link_found,,
"De la Carrera, Gonzalo","Rey, Hugo",1.3306982872200264,Región Metropolitana de Santiago (47),Región del Maule (11),Ind-PLR,RN,Gonzalo de la Carrera Correa,Hugo Rey Martinez,derecha,centro_derecha,,,,,no_link_found,,
"Bernales, Alejandro","Undurraga, Francisco",1.3306982872200264,Región de Los Lagos (9),Región Metropolitana de Santiago (47),PL,Evópoli,Alejandro Bernales Maldonado,Francisco Undurraga Gazitua,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Morales, Carla","Soto, Raul",1.3306982872200264,Región del Libertador General Bernardo O'Higgins (9),Región del Libertador General Bernardo O'Higgins (9),RN,PPD,Carla Morales Maldonado,Raul Soto Mardones,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Sepulveda, Alexis","Undurraga, Francisco",1.33201581027668,Región del Maule (11),Región Metropolitana de Santiago (47),PR,Evópoli,Alexis Sepulveda Soto,Francisco Undurraga Gazitua,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Del Real, Catalina","Hirsch, Tomas",1.33201581027668,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),Ind-RN,AH,Catalina del Real Mihovilovic,Tomas Hirsch Goldschmidt,centro_derecha,izquierda,,,,,no_link_found,,
"Araya, Jaime","Bravo, Marta",1.33201581027668,Región de Antofagasta (5),Región de Ńuble (5),Ind-PPD,UDI,Jaime Araya Guerrero,Marta Bravo Salinas,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Perez, Marlene","Undurraga, Alberto",1.33201581027668,Región del Biobío (13),Región Metropolitana de Santiago (47),Ind-UDI,PDC,Marlene Perez Cartes,Alberto Undurraga Vicuna,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Guzman, Jorge","Sagardia, Clara",1.33201581027668,Región del Maule (11),Región del Biobío (13),Evópoli,Ind-CS,Jorge Guzman Zepeda,Clara Sagardia Cabezas,centro_derecha,izquierda,,,,,no_link_found,,
"Bianchi, Carlos","Lee, Enrique",1.33201581027668,Región de Magallanes y la Antártica Chilena (3),Región de Arica y Parinacota (3),Ind-PPD,Ind-PRI,Carlos Bianchi Chelech,Enrique Lee Flores,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Barchiesi, Chiara","Perez, Joanna",1.33201581027668,Región de Valparaíso (16),Región del Biobío (13),PLR,Demócratas,Chiara Barchiesi Chavez,Joanna Perez Olea,derecha,centro_izquierda,,,,,no_link_found,,
"Labbe, Cristian","Perez, Joanna",1.33201581027668,Región Metropolitana de Santiago (47),Región del Biobío (13),UDI,Demócratas,Cristian Labbe Martinez,Joanna Perez Olea,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Berger, Bernardo","Ilabaca, Marcos",1.33201581027668,Región de Los Ríos (5),Región de Los Ríos (5),Ind-RN,PS,Bernardo Berger Fett,Marcos Ilabaca Cerda,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Bobadilla, Sergio","Undurraga, Alberto",1.33201581027668,Región del Biobío (13),Región Metropolitana de Santiago (47),UDI,PDC,Sergio Bobadilla Munoz,Alberto Undurraga Vicuna,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Bianchi, Carlos","Sauerbaum, Frank",1.3333333333333333,Región de Magallanes y la Antártica Chilena (3),Región de Ńuble (5),Ind-PPD,RN,Carlos Bianchi Chelech,Frank Sauerbaum Munoz,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Rivas, Gaspar","Winter, Gonzalo",1.3333333333333333,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PDG,CS,Gaspar Rivas Sanchez,Gonzalo Winter Etcheberry,populista,izquierda,,,,,no_link_found,,
